qz,qy,qx,qw
0.356861681,0.453929901,0.522386014,0.627463281
0.356863886,0.453934222,0.522375584,0.627467632
0.356825113,0.453937024,0.522383749,0.627480865
0.356783628,0.453936756,0.522399724,0.627491355
0.356726438,0.453920752,0.522456706,0.627488017
0.356706977,0.453908563,0.522491097,0.627479255
0.356700957,0.453904301,0.52250284,0.627475977
0.356701493,0.453887641,0.522539854,0.627456903
0.356652707,0.453870177,0.522596896,0.627449751
0.356613398,0.453851789,0.522652507,0.627439082
0.356618077,0.453843147,0.522670031,0.627428055
0.356636286,0.453839511,0.522671342,0.627419233
0.356663674,0.453833431,0.522674799,0.627405226
0.356646895,0.453816146,0.522719562,0.627389967
0.356648713,0.453808337,0.522736311,0.62738061
0.356697589,0.453820348,0.522691369,0.627381563
0.356752545,0.453829765,0.522650003,0.627377987
0.356762797,0.453837484,0.522628963,0.627384126
0.356812954,0.453851521,0.522579014,0.627387047
0.356862605,0.453866601,0.52252692,0.627391279
0.356882393,0.453876764,0.522496879,0.627397656
0.356878966,0.453880906,0.522488952,0.627403259
0.356891185,0.453884572,0.522476196,0.627404273
0.35693562,0.453897178,0.522431552,0.627407014
0.356968015,0.453903526,0.522405326,0.627405822
0.356965721,0.453901023,0.522411764,0.627403557
0.356962234,0.45389533,0.52242583,0.627398014
0.356992662,0.45389691,0.522410929,0.627391934
0.356979191,0.453890383,0.522430539,0.627388
0.356948912,0.453879893,0.522465169,0.627383947
0.356912404,0.453870624,0.522499442,0.627382934
0.356884509,0.453863025,0.522526741,0.627381563
0.356834352,0.453860551,0.522550881,0.627391756
0.356770635,0.453849852,0.522598445,0.627396107
0.356717408,0.453838795,0.52264291,0.627397358
0.356689423,0.453834176,0.522663593,0.627399385
0.35667485,0.453840286,0.522655308,0.627410114
0.356666893,0.453846961,0.522643387,0.62741977
0.356657743,0.45385018,0.522639632,0.62742579
0.3566598,0.453846008,0.522648156,0.627420485
0.356665462,0.453846276,0.522645473,0.627419353
0.356700063,0.453848541,0.522627532,0.627412975
0.356726229,0.453854412,0.522604764,0.627412796
0.356771886,0.453857809,0.522580266,0.627404809
0.356836975,0.453865498,0.5225389,0.627396643
0.356907874,0.453867942,0.522507131,0.627381027
0.356965452,0.453863531,0.522495508,0.627361119
0.357014596,0.453867108,0.522469282,0.627352417
0.357068628,0.453874677,0.522432268,0.627347052
0.357119381,0.453881681,0.522397816,0.627341807
0.357146204,0.453882962,0.522384942,0.627336323
0.357179552,0.453891098,0.522354305,0.627336919
0.357197076,0.453901917,0.522323668,0.627344608
0.357191384,0.453907311,0.522313774,0.627352178
0.357184052,0.453909606,0.522311389,0.627356708
0.357161254,0.45391497,0.522307873,0.627368689
0.357096046,0.453909427,0.52234453,0.627379298
0.357024908,0.453914285,0.522360206,0.627403259
0.356963307,0.453922868,0.52236402,0.627428949
0.356903613,0.45392713,0.522376716,0.627449274
0.356850415,0.45392096,0.522410154,0.627456129
0.356802732,0.453918219,0.522433996,0.627465367
0.356746286,0.453925073,0.522439659,0.627487779
0.356702805,0.453932106,0.522440135,0.627507031
0.356643438,0.453927696,0.522471964,0.627517462
0.356635064,0.453915209,0.522502899,0.627505481
0.356646985,0.45390749,0.522515714,0.62749362
0.356651902,0.453904897,0.522519708,0.627489388
0.356653422,0.453896284,0.522538364,0.627479196
0.356671304,0.453887582,0.522551179,0.627464712
0.356708944,0.453877985,0.52255857,0.627444029
0.356754035,0.453866184,0.522568166,0.627418995
0.356803387,0.453862697,0.522557616,0.627402186
0.356824994,0.453859836,0.522556007,0.627393365
0.356822729,0.453862309,0.522551358,0.627396703
0.356845111,0.453867584,0.522531211,0.627396941
0.356887013,0.453873396,0.522502661,0.62739265
0.356936902,0.453883767,0.522460997,0.627391458
0.356954038,0.453890741,0.522439063,0.627394974
0.3569282,0.453899503,0.522429168,0.627411544
0.356934845,0.453911155,0.522400677,0.627423048
0.356953621,0.453916132,0.522382617,0.627423823
0.356948644,0.453919142,0.522377729,0.627428532
0.35690859,0.453924775,0.522380054,0.62744534
0.35688895,0.453932941,0.522369146,0.627459645
0.356880456,0.453937352,0.522362471,0.627466857
0.356894612,0.453935176,0.522362053,0.627460718
0.35689348,0.4539316,0.522370458,0.627456963
0.356896847,0.453924239,0.522385657,0.627447724
0.356854767,0.453921765,0.522406816,0.62745589
0.356813997,0.453918695,0.522428751,0.627462983
0.356774092,0.453909218,0.522464752,0.627462566
0.35678637,0.453902334,0.522475541,0.627451599
0.356776923,0.453895867,0.522493422,0.627446711
0.356766403,0.453892887,0.522504032,0.627446055
0.356758356,0.453899235,0.522492886,0.627455294
0.356748641,0.453903764,0.522486329,0.627462983
0.356763333,0.453900248,0.522488713,0.627455235
0.356790781,0.453897446,0.522484839,0.627444863
0.356792212,0.453902602,0.522472739,0.627450407
0.356744766,0.453905404,0.522484124,0.627465844
0.356749922,0.453909874,0.522472203,0.627469599
0.356785238,0.45391345,0.522451162,0.627464473
0.356823683,0.453922302,0.522417128,0.627464533
0.356815577,0.453925669,0.522412658,0.627470434
0.356801778,0.453927517,0.522413671,0.627476156
0.356815755,0.453921586,0.522421718,0.627465785
0.356865078,0.453915477,0.522416949,0.627446055
0.356871039,0.453909636,0.522427738,0.62743789
0.356880397,0.45390445,0.522435904,0.627429605
